,Age,NHLid,Position,GP,G,A,PTS,+/-,TOI/GP,IPP%,PTS/GP,Seasons
0,28,8476805,LW,1,0,0,0,0,8.57,0.0,0.0,1
1,29,8471716,LW/RW,64,7,14,21,-20,16.65,61.8,0.328125,10
2,23,8476857,LW,15,1,1,2,-2,12.33,40.0,0.13333333333333333,1
3,25,8478569,C,29,2,3,5,3,10.23,55.6,0.1724137931034483,2
4,24,8475844,LW,7,1,2,3,0,12.78,75.0,0.42857142857142855,3
5,19,8478427,RW/LW,82,24,25,49,-1,16.78,69.0,0.5975609756097561,1
6,28,8473991,D,82,3,10,13,23,19.8,21.0,0.15853658536585366,9
7,22,8476981,RW,78,17,12,29,12,12.02,69.0,0.3717948717948718,3
8,20,8478397,D,1,0,0,0,-1,18.55,0.0,0.0,1
9,25,8476404,C,36,0,2,2,-2,10.6,33.3,0.05555555555555555,3
10,23,8477413,RW,46,7,17,24,1,13.97,85.7,0.5217391304347826,3
11,28,8473573,C,64,22,23,45,9,17.85,66.2,0.703125,9
12,24,8476326,RW,10,3,0,3,3,10.87,50.0,0.3,2
13,23,8476469,RW,57,10,9,19,-8,15.13,67.9,0.3333333333333333,3
14,23,8478042,LW/RW,80,31,30,61,16,17.15,71.8,0.7625,3
15,22,8476960,C,64,18,11,29,-7,13.47,72.5,0.453125,2
16,27,8474715,RW,82,35,27,62,13,18.08,69.7,0.7560975609756098,6
17,23,8477041,D,5,0,0,0,0,16.08,0.0,0.0,1
18,27,8479483,D,25,2,2,4,1,15.6,30.8,0.16,1
19,32,8470655,C,74,17,21,38,2,17.05,58.5,0.5135135135135135,11
20,27,8474150,C,81,22,31,53,9,17.6,67.1,0.654320987654321,9
21,29,8473563,C,82,23,63,86,17,18.27,84.3,1.048780487804878,10
22,24,8476466,LW,68,18,17,35,-6,15.88,67.3,0.5147058823529411,6
23,25,8478376,C,7,0,0,0,-1,8.0,0.0,0.0,1
24,27,8474573,C,82,13,43,56,5,18.37,62.2,0.6829268292682927,9
25,21,8477473,RW,32,2,2,4,0,10.63,36.4,0.125,2
26,21,8477491,RW,14,3,1,4,1,9.23,66.7,0.2857142857142857,1
27,21,8477964,C,30,5,7,12,5,11.78,75.0,0.4,1
28,22,8477003,RW,3,0,0,0,0,8.58,0.0,0.0,1
29,26,8474717,D,60,2,11,13,-5,18.27,32.5,0.21666666666666667,5
30,21,8477493,C,61,21,31,52,13,19.4,74.3,0.8524590163934426,4
31,25,8475197,D,74,7,31,38,-34,23.3,60.3,0.5135135135135135,6
32,28,8474749,D,24,1,1,2,-4,15.38,15.4,0.08333333333333333,7
33,19,8478445,C,2,0,0,0,-2,9.75,0.0,0.0,1
34,29,8471760,C,9,0,0,0,-1,6.77,0.0,0.0,1
